Sky明鑫,辽源,挺好的，值得一看。,5.0,2018-12-03 19:01:38
任2545,杭州,电影感觉一般,3.0,2018-12-03 19:01:35
A 🔔小铃铛,深圳,非常满意，很有趣！,5.0,2018-12-03 18:57:45
云水紫零,西安,特效很好，但是剧情一般，非常的美国大片,3.0,2018-12-03 18:57:17
FyY285700841,南充,好看，棒极了,5.0,2018-12-03 18:56:33
沃958,宣城,好蛮好的蛮好的,4.5,2018-12-03 18:56:27
天涯大暇,徐州,虽然理性上知道《杀戮原型》借鉴了很多毒液里的技能，但每次那些炫酷技能放出来的时候我眼前还是出现了A哥的影子,5.0,2018-12-03 18:56:25
忘反天地.,淮安,可爱的小毒液哈哈哈 皮的很 总体剧情还是不错的,5.0,2018-12-03 18:56:15
fTC939589660,大连,太好看了太好看了,5.0,2018-12-03 18:55:50
树莓树,贵阳,好。。。。。。,4.5,2018-12-03 18:55:02
Blurred、、,南京,好看。。。。,5.0,2018-12-03 18:54:43
愛炸毛的瑤尐貓,苏州,毒液挺可爱的～巨幕的看着感觉不错哦！,4.5,2018-12-03 18:54:26
tangguoshupian,秦皇岛,笑中带泪霸道总裁爱上我的范,5.0,2018-12-03 18:54:04
快乐每一天wert,淄博,很棒，好看！挺感人,5.0,2018-12-03 18:53:07
桥部施不爱锅,遂宁,丑萌的毒液简直太可爱了，这样说会不会夸张😁,5.0,2018-12-03 18:53:04
lmw0451,桂林,感觉一般，带孩子去看热闹了,4.5,2018-12-03 18:53:02
系米西米,合川,好看，不要纠结情节,5.0,2018-12-03 18:52:52
eSD767425881,南京,有点搞笑，'你有点恐怖,5.0,2018-12-03 18:52:31
冬冬晓晓,垫江,一般一般一般,3.0,2018-12-03 18:51:44
回忆的沙漏926,博罗县,挺好看的电影,5.0,2018-12-03 18:51:29
UaA290168510,珠海,毒液是个好毒液 但是最后怎么就想留在地球了。。。,3.5,2018-12-03 18:51:27
天堂小尘埃,闽侯县,不是太明白为什么能这么高分，觉得一般。,2.5,2018-12-03 18:49:53
宇轩凯文〆,合肥,感觉还好吧，没有想象中好看！,3.5,2018-12-03 18:49:08
瞇乐,京山,好看。。。。。。,5.0,2018-12-03 18:48:24
whW984454060,温州,好看，就是感觉删减过,4.5,2018-12-03 18:48:11
hfK193441219,慈溪,刚开始看的想睡觉，后来很精彩的，不错我都想拥有毒液了。,4.5,2018-12-03 18:46:00
ZTa960715650,贵阳,还不错，只是自己没注意，下单买成国语版的了，电影非常好的，小孩挺喜欢的,4.5,2018-12-03 18:45:56
残陌初心°,中山,好看好看 后面挺搞笑的,5.0,2018-12-03 18:45:38
QLt483886247,上海,故事没有好看的。,3.0,2018-12-03 18:45:10
zailushang在路上,上海,还不错      还不错   还不错,5.0,2018-12-03 18:44:26
呵呵晨儿,郑州,太好看了！刺激,5.0,2018-12-03 18:43:53
HYr983107848,潍坊,。。挺不错的,5.0,2018-12-03 18:43:02
老虎9963,昆明,好看好看好看好看好看好看,5.0,2018-12-03 18:42:56
片反木又,西宁,刺激真的好看。,5.0,2018-12-03 18:42:32
丨小肥羊,东莞,好看吗，还行，有偶尔被吓一跳,5.0,2018-12-03 18:42:30
OxE437227725,合肥,剧情一般，但该有的元素还是有的,5.0,2018-12-03 18:41:41
野心1641,平遥,这部电影挺好  为什么非得6个字呢  本来挺好两个字多精辟,5.0,2018-12-03 18:41:24
Ꮥ₸Ꭾ***,沈阳,超级好看喜欢,5.0,2018-12-03 18:41:23
希文,武穴,毒液真的超好看超可爱ớ ₃ờ,5.0,2018-12-03 18:41:17
玺,武汉,好看，不错，值得,5.0,2018-12-03 18:40:50
迪迪迪迪迪迪奥,台州,超级无敌好看！！！,5.0,2018-12-03 18:40:16
zWr940834337,诸城,，，，，，推荐，，，，,4.0,2018-12-03 18:40:04
花开的角落,重庆,还不错。。。,4.5,2018-12-03 18:39:21
独狼,广州,我都好想毒液可以给我碰上,5.0,2018-12-03 18:39:06
cc小海123,安庆,不错，值得推荐。,4.5,2018-12-03 18:39:00
Ririq,昆明,剧情回转的不错，很好的结局，期待第二部,5.0,2018-12-03 18:38:06
缥缈422,北京,好看值得观看，，,5.0,2018-12-03 18:37:33
vEq868534296,阜新,很有喜感的毒液，值得去电影院一看。,4.5,2018-12-03 18:36:40
浩子,重庆,好看好看好看,5.0,2018-12-03 18:36:15
Coco567,天津,好看(｡･ω･｡)ﾉ♡,4.5,2018-12-03 18:35:59
随风流浪520,南京,还可以，剧情太差了,3.5,2018-12-03 18:35:45
安静的wo,南通,影院环境挺好 安静 人少  效果不错,4.5,2018-12-03 18:34:44
哇_久安好帅,上海,嘿嘿斤斤计较,4.5,2018-12-03 18:34:28
xAZ612410518,广州,还好挺好很好,5.0,2018-12-03 18:33:49
神说，尔等有罪！,沭阳,喜剧片………,4.5,2018-12-03 18:33:29
pib152806379,北京,很好看，去电影院看了2遍,5.0,2018-12-03 18:33:25
pgc983705754,泰州,恐怖中略有搞笑，很好看的一部电影，满分,5.0,2018-12-03 18:33:14
Baby贝贝0303,丰都,很不错的一部电影，喜欢。,5.0,2018-12-03 18:33:14
vsB670481163,合肥,刺激，特喜欢。,5.0,2018-12-03 18:32:59
snE555252967,承德,感觉不怎么好看,4.0,2018-12-03 18:32:21
ldf243992373,哈尔滨,太棒了，好看，值得一看,5.0,2018-12-03 18:32:13
坤615,哈尔滨,还好吧，票有点贵,4.0,2018-12-03 18:32:04
年轻赚钱,昆山,非常好，特效好看,5.0,2018-12-03 18:30:50
中卓控股,深圳,还可以。就是有点牵强。,4.5,2018-12-03 18:30:37
半城茶湘,合肥,很酷炫的剧情，期待毒液的下一部作品,5.0,2018-12-03 18:30:22
Ycj761584198,昆山,好看的嘞，可以可以,5.0,2018-12-03 18:29:55
掌心的痣123,内江,给孩子和他的几个小伙伴买的，小伙伴们看完出来都说好看,5.0,2018-12-03 18:29:54
大月亮..,南昌,超级好看！！,5.0,2018-12-03 18:29:52
Tcv267827253,彭州,挺搞笑的，只是太快打败敌人了,4.5,2018-12-03 18:29:44
UcF559869302,长春,。。。。。。。。？不错,4.5,2018-12-03 18:29:33
VxJ508727261,岳阳,满分，这就是我喜欢的！,5.0,2018-12-03 18:29:22
TvC18947950903,呼和浩特,挺好看的，翻译问挺逗,5.0,2018-12-03 18:29:04
Pigfarmers,牡丹江,毒液很幽默 期待next one,4.5,2018-12-03 18:28:26
qvf196831090,揭阳,看着挺不错的，很喜欢,5.0,2018-12-03 18:27:30
若梦2720,徐州,还好吧，感觉故事结束的有点仓促。,4.0,2018-12-03 18:27:25
随意2758,徐州,可以，剧情特效不错,4.5,2018-12-03 18:27:16
无人问津,晋中,超级好看，大片。太酷了,5.0,2018-12-03 18:26:48
waZ854768229,淄博,不错！环境不错！,5.0,2018-12-03 18:26:25
总统1451,上海,好看好看……,5.0,2018-12-03 18:26:15
蔡厚溢,建阳,非常好看的电影,4.5,2018-12-03 18:25:04
珍爱吃蔬菜,赣州,好看，开始觉得挺恶心的，看了之后觉得挺感人的,5.0,2018-12-03 18:24:57
nox315260497,玉田县,不错，就是删减的太多,4.0,2018-12-03 18:24:35
melonyaiyo,连云港,很好看，，，，，,5.0,2018-12-03 18:24:19
wcp894772644,新安,。。。。。。。,4.5,2018-12-03 18:23:21
zju430376033,三河,太帅了毒液！！！,5.0,2018-12-03 18:23:20
粉红大胖熊,徐州,还行吧，镜头有点血腥,4.0,2018-12-03 18:22:39
nZv116962501,周口,"好看呢
还粗cun",5.0,2018-12-03 18:22:39
路痴,深圳,额，就是感觉还行,3.5,2018-12-03 18:21:13
Gming1314,玉林,买了票没看，约的人没到,5.0,2018-12-03 18:21:08
爱谁谁709,邯郸,还可以 总的还行，最后一段结局没看明白😂,5.0,2018-12-03 18:18:15
未成年面包007,西安,贼好看，期待下一部,5.0,2018-12-03 18:17:23
ZTL冰雪儿,西安,看的不是很明白，乱的很。,2.5,2018-12-03 18:17:23
imchenl,恩施,好看，科幻。,5.0,2018-12-03 18:17:15
小东呢丶,张家口,挺好的，支持漫威。汤老师帅啊😊,5.0,2018-12-03 18:16:51
lDN121158537,淮安,好看很棒 推荐,5.0,2018-12-03 18:16:37
Sweet颜,仙桃,✔👍👍👍👍👍👍,5.0,2018-12-03 18:16:33
Evz707042648,嘉兴,很好看，真的很好看,5.0,2018-12-03 18:16:00
日轮之子Karuna,重庆,很好看，懂得都懂,5.0,2018-12-03 18:15:28
Tgs361,伊金霍洛旗,很好看！！！,5.0,2018-12-03 18:15:23
Quintusqin,武汉,好看！！！！！！,5.0,2018-12-03 18:15:07
heW839090527,上海,毒液很可爱，影片中规中矩,4.0,2018-12-03 18:14:02
J丶Harry,银川,典型的类型片，特效场景看着挺过瘾的，不错不错,4.0,2018-12-03 18:13:57
刻刻帝丶,长沙,还可以吧   电影还不错,4.0,2018-12-03 18:13:51
